changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin,Fit time,Prediction time,In-sample RMSE,Out-of-sample RMSE
mcmcBurnin,200,6,0.85,3,25,1200,165,62.841,75.681,0.156,0.173
mcmcBurnin,200,6,0.85,3,25,1200,141,66.468,82.808,0.153,0.166
mcmcBurnin,200,6,0.85,3,25,1200,177,66.053,78.571,0.158,0.173
mcmcBurnin,200,6,0.85,3,25,1200,159,66.449,81.285,0.157,0.172
mcmcBurnin,200,6,0.85,3,25,1200,147,67.643,81.877,0.158,0.174
mcmcBurnin,200,6,0.85,3,25,1200,183,65.732,78.74,0.153,0.172
mcmcBurnin,200,6,0.85,3,25,1200,153,67.571,81.758,0.156,0.171
mcmcBurnin,200,6,0.85,3,25,1200,188,66.591,78.4,0.152,0.169
mcmcBurnin,200,6,0.85,3,25,1200,171,66.939,81.227,0.15,0.165
mcmcBurnin,200,6,0.85,3,25,1200,194,65.682,75.826,0.152,0.168
mcmcBurnin,200,6,0.85,3,25,1200,200,66.952,77.552,0.154,0.169
mcmcBurnin,200,6,0.85,3,25,1200,206,67.061,77.101,0.153,0.17
mcmcBurnin,200,6,0.85,3,25,1200,212,62.742,75.577,0.154,0.17
mcmcBurnin,200,6,0.85,3,25,1200,218,62.229,77.522,0.155,0.17
mcmcIter,200,6,0.85,3,25,4480,200,260.276,347.894,0.139,0.161
mcmcBurnin,200,6,0.85,3,25,1200,241,62.495,69.687,0.156,0.173
mcmcBurnin,200,6,0.85,3,25,1200,253,63.977,70.969,0.149,0.163
mcmcBurnin,200,6,0.85,3,25,1200,230,65.876,72.919,0.155,0.169
mcmcBurnin,200,6,0.85,3,25,1200,247,61.322,76.609,0.154,0.168
mcmcBurnin,200,6,0.85,3,25,1200,235,63.16,76.213,0.156,0.173
mcmcBurnin,200,6,0.85,3,25,1200,224,67.417,80.104,0.156,0.173
mcmcBurnin,200,6,0.85,3,25,1200,259,66.742,72.479,0.158,0.175
mcmcBurnin,200,6,0.85,3,25,1200,306,67.754,69.151,0.153,0.167
mcmcBurnin,200,6,0.85,3,25,1200,294,67.793,71.215,0.155,0.174
mcmcBurnin,200,6,0.85,3,25,1200,282,67.822,72.401,0.149,0.164
mcmcBurnin,200,6,0.85,3,25,1200,277,67.689,72.866,0.156,0.173
mcmcBurnin,200,6,0.85,3,25,1200,265,68.035,74.233,0.155,0.174
mcmcBurnin,200,6,0.85,3,25,1200,271,67.757,74.412,0.157,0.174
mcmcBurnin,200,6,0.85,3,25,1200,312,68.106,71.312,0.153,0.17
mcmcBurnin,200,6,0.85,3,25,1200,300,67.994,72.503,0.156,0.176
mcmcBurnin,200,6,0.85,3,25,1200,288,68.393,74.113,0.155,0.174
mcmcBurnin,200,6,0.85,3,25,1200,324,70.339,69.452,0.149,0.165
mcmcBurnin,200,6,0.85,3,25,1200,318,69.004,113.76,0.16,0.177
mcmcBurnin,200,6,0.85,3,25,1200,330,67.501,68.636,0.15,0.166
mcmcBurnin,200,6,0.85,3,25,1200,335,67.789,68.385,0.154,0.17
mcmcBurnin,200,6,0.85,3,25,1200,341,67.516,68.594,0.153,0.17
mcmcIter,200,6,0.85,3,25,5475,200,315.252,398.984,0.141,0.161
mcmcBurnin,200,6,0.85,3,25,1200,347,62.631,61.985,0.154,0.17
mcmcBurnin,200,6,0.85,3,25,1200,353,68.322,68.463,0.153,0.168
mcmcBurnin,200,6,0.85,3,25,1200,365,61.716,62.436,0.151,0.172
mcmcBurnin,200,6,0.85,3,25,1200,377,62.355,61.505,0.157,0.175
mcmcBurnin,200,6,0.85,3,25,1200,388,62.547,60.259,0.159,0.178
mcmcBurnin,200,6,0.85,3,25,1200,371,62.578,62.677,0.155,0.171
mcmcBurnin,200,6,0.85,3,25,1200,359,67.191,66.026,0.152,0.168
mcmcBurnin,200,6,0.85,3,25,1200,400,63.08,59.239,0.156,0.174
mcmcBurnin,200,6,0.85,3,25,1200,429,65.927,58.582,0.155,0.17
mcmcBurnin,200,6,0.85,3,25,1200,394,67.597,71.257,0.152,0.171
mcmcBurnin,200,6,0.85,3,25,1200,424,66.128,60.189,0.156,0.173
mcmcBurnin,200,6,0.85,3,25,1200,447,66.512,58.33,0.15,0.166
mcmcBurnin,200,6,0.85,3,25,1200,441,67.269,59.401,0.155,0.173
mcmcBurnin,200,6,0.85,3,25,1200,418,67.419,61.984,0.155,0.175
mcmcBurnin,200,6,0.85,3,25,1200,453,67.626,59.379,0.154,0.171
mcmcBurnin,200,6,0.85,3,25,1200,435,67.824,60.402,0.157,0.175
mcmcBurnin,200,6,0.85,3,25,1200,412,67.195,63.135,0.154,0.171
mcmcBurnin,200,6,0.85,3,25,1200,406,68.783,63.822,0.154,0.17
mcmcBurnin,200,6,0.85,3,25,1200,465,66.773,57.502,0.155,0.172
mcmcBurnin,200,6,0.85,3,25,1200,459,68.096,58.149,0.153,0.171
mcmcBurnin,200,6,0.85,3,25,1200,382,62.382,123.775,0.155,0.172
mcmcBurnin,200,6,0.85,3,25,1200,471,67.135,56.165,0.152,0.171
mcmcBurnin,200,6,0.85,3,25,1200,488,66.089,55.108,0.147,0.166
mcmcBurnin,200,6,0.85,3,25,1200,482,67.693,55.649,0.155,0.173
mcmcBurnin,200,6,0.85,3,25,1200,506,62.26,50.105,0.149,0.164
mcmcBurnin,200,6,0.85,3,25,1200,500,62.746,52.571,0.155,0.173
mcmcBurnin,200,6,0.85,3,25,1200,494,69.082,55.573,0.154,0.169
mcmcBurnin,200,6,0.85,3,25,1200,477,84.59,63.858,0.154,0.174
mcmcBurnin,200,6,0.85,3,25,1200,524,61.788,49.427,0.154,0.173
mcmcBurnin,200,6,0.85,3,25,1200,535,61.613,48.277,0.152,0.168
mcmcBurnin,200,6,0.85,3,25,1200,518,66.058,52.387,0.153,0.171
mcmcBurnin,200,6,0.85,3,25,1200,541,63.058,48.599,0.154,0.173
mcmcBurnin,200,6,0.85,3,25,1200,529,62.452,50.816,0.152,0.172
mcmcBurnin,200,6,0.85,3,25,1200,553,61.884,47.301,0.155,0.174
